Day,Time,Session topic,icon,link
Day 1,09:30,"Arrival, meeting  setup",users-gear,
Day 1,10:00,Brief introduction of attendees,users-group-simple,
Day 1,10:30,Course overview,person-chalkboard,../sessions/introduction.html
Day 1,11:00,Overview of R and RStudio,laptop-code,../sessions/introduction.html
Day 1,11:30,Basic R Syntax and Operationssyntax,laptop-code,../sessions/basic-syntax.html
Day 1,13:15,Lunch,utensils,
Day 1,13:45,Discussion day 1,user-group,../appendix/discussion.qmd#discussion-day-one
Day 1,15:00,R markdown basics,laptop-code,../sessions/rmarkdown-basics.html
Day 1,16:00,Vectors and factors,laptop-code,../sessions/vectors.html
Day 1,16:45,End of day survey,comment-dots,https://docs.google.com/forms/d/e/1FAIpQLSfKwOu6NXiT_aUkOiECyvdqRuXofRxVM5LnCJ1vPT5JagcyQA/viewform?vc=0&c=0&w=1&flr=0&usp=mail_form_link
Day 2,09:00,Dataframes and lists,laptop-code,../sessions/df-lists.html
Day 2,10:15,Tea break,mug-hot,
Day 2,10:30,R packages and libraries,laptop-code,../sessions/packages-libraries.html
Day 2,12:15,Lunch,utensils,
Day 2,13:00,Discussion day 2,user-group,../appendix/discussion.qmd#discussion-day-two
Day 2,13:30,Basic data import,laptop-code,../sessions/basic-import.html
Day 2,15:00,Tea break,mug-hot,
Day 2,15:15,Basic data visualization,laptop-code,../sessions/basic-visualization.html
Day 2,16:30,Help and documentation,book-user,../sessions/help-docs.html
,16:45,End of day survey,comment-dots,https://docs.google.com/forms/d/e/1FAIpQLSfKwOu6NXiT_aUkOiECyvdqRuXofRxVM5LnCJ1vPT5JagcyQA/viewform?vc=0&c=0&w=1&flr=0&usp=mail_form_link
